idx_feat_u,x,y,idx_part_u,idx_vert_u,vert_type,idx_feat_f,dist_feat_f,d,az,iF,interface,linkL,linkR,lengthL,lengthR,segmentL,segmentR,azimuthL,azimuthR,newvar,newflamvar
1,-98514.0,-102358.0,1011,131,5,1,271.5437349673161,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,90.0,245811.0,1
1,-98514.0,-102359.0,1011,132,5,1,271.15493725912495,-1.0,-1.0,-1,0,0,0,35.510561809129406,1.0,-1,-1,170.27242144859838,0.0,245811.0,1
1,-98508.0,-102394.0,1011,133,5,1,253.84247083575278,-1.0,-1.0,-1,0,0,0,34.132096331752024,35.510561809129406,-1,-1,185.04245106917094,350.2724214485984,245811.0,1
1,-98511.0,-102428.0,1011,134,5,1,249.6096953245206,-1.0,-1.0,-1,0,0,0,26.019223662515376,34.132096331752024,-1,-1,182.20259816176576,5.0424510691708955,245811.0,1
1,-98512.0,-102454.0,1011,135,5,1,248.20153101864622,-1.0,-1.0,-1,0,0,0,3.1622776601683795,26.019223662515376,-1,-1,198.43494882292202,2.2025981617658186,245811.0,1
1,-98513.0,-102457.0,1011,136,5,1,249.09837414162303,-1.0,-1.0,-1,0,0,0,10.63014581273465,3.1622776601683795,-1,-1,228.81407483429038,18.434948822922006,245811.0,1
1,-98521.0,-102464.0,1011,137,5,1,257.0,-1.0,-1.0,-1,0,0,0,1.0,10.63014581273465,-1,-1,180.0,48.81407483429037,245811.0,1
1,-98521.0,-102465.0,1011,138,5,1,257.00194551792794,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,0.0,245811.0,1
1,-98521.0,-102466.0,1011,139,5,1,257.00778198334774,-1.0,-1.0,-1,0,0,0,5.0990195135927845,1.0,-1,-1,168.6900675259798,0.0,245811.0,1
1,-98520.0,-102471.0,1011,140,5,1,256.09568524284043,-1.0,-1.0,-1,0,0,0,7.615773105863909,5.0990195135927845,-1,-1,246.80140948635187,348.69006752597977,245811.0,1
1,-98527.0,-102474.0,1011,141,5,1,263.1900454044567,-1.0,-1.0,-1,0,0,0,12.529964086141668,7.615773105863909,-1,-1,241.3895403340348,66.80140948635182,245811.0,1
1,-98538.0,-102480.0,1011,142,5,1,274.46675572826666,-1.0,-1.0,-1,0,0,0,17.88854381999832,12.529964086141668,-1,-1,243.43494882292194,61.38954033403479,245811.0,1
1,-98554.0,-102488.0,1011,143,5,1,290.99140880788906,-1.0,-1.0,-1,0,0,0,1.0,17.88854381999832,-1,-1,180.0,63.43494882292201,245811.0,1
1,-98554.0,-102489.0,1011,144,5,1,291.0755915565577,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,270.0,0.0,245811.0,1
1,-98555.0,-102489.0,1011,145,5,1,292.07190895394234,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,90.0,245811.0,1
1,-98555.0,-102490.0,1011,146,5,1,292.15920317525513,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,180.0,0.0,245811.0,1
1,-98555.0,-102491.0,1011,147,5,1,292.2498930709813,-1.0,-1.0,-1,0,0,0,26.570660511172846,1.0,-1,-1,160.2011236454751,0.0,245811.0,1
1,-98546.0,-102516.0,1011,148,5,1,286.75425018646195,-1.0,-1.0,-1,0,0,0,10.198039027185569,26.570660511172846,-1,-1,168.6900675259798,340.2011236454751,245811.0,1
1,-98544.0,-102526.0,1011,149,5,1,286.7821472825671,-1.0,-1.0,-1,0,0,0,13.038404810405298,10.198039027185569,-1,-1,175.60129464500443,348.69006752597977,245811.0,1
1,-98543.0,-102539.0,1011,150,5,1,288.90482862008383,-1.0,-1.0,-1,0,0,0,2.0,13.038404810405298,-1,-1,180.0,355.60129464500443,245811.0,1
1,-98543.0,-102541.0,1011,151,5,1,289.4304752440558,-1.0,-1.0,-1,0,0,0,1.0,2.0,-1,-1,180.0,0.0,245811.0,1
1,-98543.0,-102542.0,1011,152,5,1,289.69811873741946,-1.0,-1.0,-1,0,0,0,1.0,1.0,-1,-1,90.0,0.0,245811.0,1
1,-98542.0,-102542.0,1011,153,5,1,288.7351727794866,-1.0,-1.0,-1,0,1,0,1.0,1.0,9,-1,180.0,270.0,245811.0,1
1,-98542.0,-102543.0,1011,154,4,1,289.0069203323685,295.5757094214611,77.89170422297684,1,1,1,1,1.0,1.0,9,10,90.0,0.0,245811.0,1
1,-98541.0,-102543.0,1011,155,4,1,288.0451353520833,288.0451353520833,74.08192683401752,1,1,1,1,2.0,1.0,9,10,90.0,270.0,245811.0,1
1,-98539.0,-102543.0,1011,156,4,1,286.1223514512629,286.1223514512629,73.97208503057364,1,1,1,1,10.198039027185569,2.0,9,10,78.69006752597981,270.0,245811.0,1
1,-98529.0,-102541.0,1011,157,5,1,275.9601420495358,-1.0,-1.0,-1,0,0,1,43.04648650006177,10.198039027185569,-1,10,177.33699923393283,258.6900675259798,245811.0,1
1,-98527.0,-102584.0,1011,158,5,1,289.0830330545188,-1.0,-1.0,-1,0,0,0,43.56604182158393,43.04648650006177,-1,-1,189.2461127455632,357.33699923393283,245811.0,1
1,-98534.0,-102627.0,1011,159,5,1,315.38706378036494,-1.0,-1.0,-1,0,0,0,11.180339887498949,43.56604182158393,-1,-1,190.30484646876607,9.246112745563217,245811.0,1
1,-98536.0,-102638.0,1011,160,5,1,322.893171188243,-1.0,-1.0,-1,0,0,0,1.4142135623730951,11.180339887498949,-1,-1,134.99999999999994,10.304846468766025,245811.0,1
1,-98535.0,-102639.0,1011,161,5,1,322.5926223582926,-1.0,-1.0,-1,0,0,0,40.70626487409524,1.4142135623730951,-1,-1,152.17590361574676,315.0,245811.0,1
1,-98516.0,-102675.0,1011,162,5,1,326.8103425535979,-1.0,-1.0,-1,0,0,0,5.0,40.70626487409524,-1,-1,143.13010235415598,332.17590361574673,245811.0,1
